TCA25	idempotence	SharedStateFileStorage.body	.selectTab	0x029429B00EA31B2F
TCA25	idempotence	FocusDemo.body	.binding	0x03305FCA3F2C90C1
TCA25	idempotence	Refreshable.body	.refresh	0x039376A414D935FA
TCA25	idempotence	SyncUpDetail.body	.delegate	0x0601E26716079C49
HandRolled	cardinality	PresentationReducer.reduce	(state.isShowingSheet ? 1 : 0) + (state.isShowingAlert ? 1 : 0) + (state.activeFullScreenCover != nil ? 1 : 0) <= 1	0x1628477269C29926
TCA25	biconditional	EagerNavigation.body	state.isNavigationActive == (state.optionalCounter != nil)	0x16AD1B03D0321336
TCA25	idempotence	LongLivingEffects.body	.task	0x1CD499C261AD459F
TCA25	idempotence	NavigateAndLoad.body	.setNavigationIsActiveDelayCompleted	0x222DD422104373CD
TCA25	cardinality	VoiceMemos.body	(state.alert != nil ? 1 : 0) + (state.recordingMemo != nil ? 1 : 0) <= 1	0x2518F5817C36B01B
TCA25	cardinality	AlertAndConfirmationDialog.body	(state.alert != nil ? 1 : 0) + (state.confirmationDialog != nil ? 1 : 0) <= 1	0x2661FFB7152A81C6
HandRolled	idempotence	SettingsReducer.reduce	.refresh	0x28E063D1073103E6
TCA25	idempotence	MultipleDestinations.body	.showDrillDown	0x2CF145DE9F15BBC3
TCA25	idempotence	SyncUpForm.body	.binding	0x2F42BD614C76A015
HandRolled	idempotence	SettingsReducer.reduce	.dismiss	0x39993CA9A4560942
HandRolled	idempotence	PresentationReducer.reduce	.showCover	0x3C390CFE6D5A9176
TCA25	idempotence	BindingForm.body	.binding	0x4D5AA3831F8F39F5
HandRolled	biconditional	FetchReducer.reduce	state.isLoadingResults == (state.cachedResult != nil)	0x5322E671E7B9C8B0
TCA25	idempotence	SharedStateUserDefaults.body	.selectTab	0x55B2D1BD3AC66895
TCA25	biconditional	ScreenA.body	state.isLoading == (state.fact != nil)	0x6207F353D6E8C2C4
TCA25	idempotence	Todos.body	.binding	0x65552F900B4B1991
TCA10	idempotence	SharedState.body	.selectTab	0x6A1C5F8B800C666B
HandRolled	biconditional	FetchReducer.reduce	state.isLoadingResults == (state.activeTask != nil)	0x6AE3CAC27441579E
TCA25	idempotence	NavigateAndLoad.body	.setNavigation	0x6CD1437C507D2C40
TCA25	idempotence	PresentAndLoad.body	.setSheetIsPresentedDelayCompleted	0x6D02629A0B7E2AD6
HandRolled	conservation	CountedListReducer.reduce	state.itemCount == state.items.count	0x7EC3E1F5B21BA03B
HandRolled	idempotence	SettingsReducer.reduce	.setColor	0x827AC3C0D3F7639E
HandRolled	idempotence	PresentationReducer.reduce	.showAlert	0x8B9287484B528EC2
HandRolled	cardinality	reduce	(state.isShowingMenu ? 1 : 0) + (state.isShowingHelp ? 1 : 0) <= 1	0x8D6BD8CCFE6C8A14
TCA25	idempotence	SharedStateInMemory.body	.selectTab	0x8EACCFC0953B8503
TCA25	biconditional	NavigateAndLoad.body	state.isNavigationActive == (state.optionalCounter != nil)	0x94FF67A336D17466
HandRolled	idempotence	SettingsReducer.reduce	.clear	0x97C9FD09CAE9C108
TCA25	idempotence	Animations.body	.setColor	0x98095E03B5CB50C6
HandRolled	idempotence	PresentationReducer.reduce	.showSheet	0x9B61B0C65BC892D9
HandRolled	idempotence	MessageListReducer.reduce	.select	0x9C2E692E188CC9D5
TCA10	idempotence	LongLivingEffects.reduce	.task	0xA128952D45DE0EE8
TCA25	idempotence	NavigateAndLoadList.body	.setNavigationSelectionDelayCompleted	0xA4E1C7777957793A
TCA25	idempotence	VoiceMemo.body	.delegate	0xC4E850D15D81A545
TCA25	idempotence	EagerNavigation.body	.setNavigation	0xCDD3C7C47F9CAA85
TCA25	idempotence	LazyNavigation.body	.setNavigation	0xD026F5CB9B3CAC36
TCA25	idempotence	MultipleDestinations.body	.showSheet	0xD73376B29A2C4843
TCA10	biconditional	ScreenA.reduce	state.isLoading == (state.fact != nil)	0xD8040F167F092FA9
HandRolled	idempotence	reduce	.refresh	0xDB4AF9FDB178C90F
TCA10	idempotence	Root.body	.presentAndLoad	0xDC04AF5A07FE1BD5
TCA25	idempotence	MultipleDestinations.body	.showPopover	0xDC63548560C7FF3A
TCA25	referential-integrity	MessageListReducer.reduce	state.selectedMessageID == nil || state.messages.contains { $0.id == state.selectedMessageID }	0xDF7B4776E4770460
TCA25	idempotence	PresentAndLoad.body	.setSheet	0xF1BDBD0D08BB8479
TCA25	idempotence	NavigateAndLoadList.body	.setNavigation	0xF5C13CD78D4B01D6
TCA25	idempotence	LazyNavigation.body	.setNavigationIsActiveDelayCompleted	0xF8AA84E3C9B94589
TCA25	idempotence	EagerNavigation.body	.setNavigationIsActiveDelayCompleted	0xFB6656B406E394A4
TCA10	idempotence	Refreshable.reduce	.refresh	0xFDD5E07840BF51F1
TCA10	idempotence	RecordingMemo.body	.delegate	0xFE45216FC753E6A5
